status_id,status_message,link_name,status_type,status_link,status_published,num_likes,num_comments,num_shares
46895347303_10155012346872304,b'Most onions make you cry. This one makes you scream. #JacksHorrorFlicks #Halloween',,photo,https://www.facebook.com/jackinthebox/photos/a.402437867303.178879.46895347303/10155012346717304/?type=3,2017-10-30 08:27:00,573,60,112
46895347303_10155012344447304,"b""You can't serve breakfast all day without breaking a few eggs. # JacksHorrorFlicks #Halloween""",,photo,https://www.facebook.com/jackinthebox/photos/a.402437867303.178879.46895347303/10155012343902304/?type=3,2017-10-27 12:06:19,414,51,89
46895347303_10155002307597304,b'A drink worth falling for #PumpkinSpiceShake',,video,https://www.facebook.com/jackinthebox/videos/10155002307597304/,2017-10-22 11:00:00,127,34,9
46895347303_10154994590637304,,b'Daym Drops',video,https://www.facebook.com/DaymDrops/videos/1840267905998266/,2017-10-17 11:17:12,234,99,1
46895347303_10154983746837304,b'How I ride up to work on #NationalBossDay.',,video,https://www.facebook.com/jackinthebox/videos/10154983746837304/,2017-10-16 09:00:00,223,38,34
46895347303_10154986580957304,b'Woke up like this #PumpkinSpiceShake',,video,https://www.facebook.com/jackinthebox/videos/10154986580957304/,2017-10-14 10:24:00,1872,522,289
46895347303_10154986589602304,b'Keep your friends close and your fries closer #JacksHorrorFlicks #Fridaythe13th',,photo,https://www.facebook.com/jackinthebox/photos/a.402437867303.178879.46895347303/10154986586622304/?type=3,2017-10-13 18:59:19,2446,121,390
46895347303_10154984283067304,b'Dessert never looked so good #JackHack',,video,https://www.facebook.com/jackinthebox/videos/10154984283067304/,2017-10-13 09:04:00,1510,395,395
46895347303_10154984125757304,"b'According to this totally anonymous source, fast food\xe2\x80\x99s first ever Ribeye Burger is \xe2\x80\x9cmuy bueno.\xe2\x80\x9d #JacksRibeyeBurger'",b'Jack in the Box | Taste-a-monial #97',video,https://www.facebook.com/jackinthebox/videos/10154984125757304/,2017-10-12 16:14:45,140,39,26
46895347303_10154962263827304,b'Food baby. #NationalTacoDay',,photo,https://www.facebook.com/jackinthebox/photos/a.402437867303.178879.46895347303/10154962262992304/?type=3,2017-10-04 09:00:00,6355,4363,4391
46895347303_10154962268527304,"b'It doesn\xe2\x80\x99t have a rear-facing camera, but it is delicious. #NationalTacoDay.'",,photo,https://www.facebook.com/jackinthebox/photos/a.402437867303.178879.46895347303/10154962264332304/?type=3,2017-10-04 09:00:00,442,66,79
46895347303_10154962262467304,b'Everyone can\xe2\x80\x99t stop taco\xe2\x80\x99ing about #NationalTacoDay.',,photo,https://www.facebook.com/jackinthebox/photos/a.402437867303.178879.46895347303/10154962261957304/?type=3,2017-10-04 09:00:00,182,56,78
46895347303_10154961867377304,"b""Introducing fast food's first ever Ribeye Burger. Everyone loves it. Even the competition. #JacksRibeyeBurger""",b'Jack in the Box | Taste-a-monial #5',video,https://www.facebook.com/jackinthebox/videos/10154961867377304/,2017-10-03 13:17:36,290,91,76
