SEASONAL,SALES TYPE,BUSINESS_DATE,STORE_ID,YEAR,MONTH,DAYOFWEEK,DAY_PART,TICKET_NUM,SALES_AMOUNT,HOP_OUT_TIME,AVE_SALE_PER_ORDER,AVE_SALE_PER_SERVICE_MINUTE
Cold Season,Call In,2015-11-07 00:00:00,4818,2015,11,06-Saturday,04-Dinner,1,0.0,8.17,0.0,0.0
Cold Season,Call In,2015-11-08 00:00:00,4818,2015,11,07-Sunday,02-Lunch,1,0.0,2.55,0.0,0.0
Cold Season,Call In,2015-11-14 00:00:00,4818,2015,11,06-Saturday,02-Lunch,1,3.38,4.35,3.38,0.7770114942528736
Cold Season,Call In,2015-12-09 00:00:00,4818,2015,12,03-Wednesday,02-Lunch,1,12.77,2.07,12.77,6.169082125603865
Cold Season,Call In,2016-01-02 00:00:00,4818,2016,1,06-Saturday,02-Lunch,1,2.79,3.35,2.79,0.8328358208955223
Cold Season,Call In,2016-02-15 00:00:00,4818,2016,2,01-Monday,05-Late Night Snack,1,16.549999999999997,0.63,16.549999999999997,26.269841269841265
Cold Season,Call In,2016-02-19 00:00:00,4818,2016,2,05-Friday,01-Breakfast,1,8.79,4.58,8.79,1.9192139737991265
Cold Season,Call In,2016-02-29 00:00:00,4818,2016,2,01-Monday,05-Late Night Snack,1,19.08000000000001,10.15,19.08000000000001,1.8798029556650255
Cold Season,Call In,2016-12-29 00:00:00,4818,2016,12,04-Thursday,04-Dinner,1,7.98,2.4,7.98,3.325
Cold Season,Call In,2017-01-10 00:00:00,4818,2017,1,02-Tuesday,02-Lunch,1,6.720000000000001,1.23,6.720000000000001,5.463414634146342
Cold Season,Drive Through Window,2015-11-01 00:00:00,4818,2015,11,07-Sunday,01-Breakfast,89,579.9200000000002,2.3496629213483136,6.515955056179777,2.7731446059678673
Cold Season,Drive Through Window,2015-11-01 00:00:00,4818,2015,11,07-Sunday,02-Lunch,125,1054.76,2.629919999999998,8.43808,3.208493034008641
Cold Season,Drive Through Window,2015-11-01 00:00:00,4818,2015,11,07-Sunday,03-Snack,66,489.53999999999996,3.025,7.417272727272727,2.4519909842223893
Cold Season,Drive Through Window,2015-11-01 00:00:00,4818,2015,11,07-Sunday,04-Dinner,67,649.3099999999998,3.411044776119402,9.691194029850744,2.841121904261836
Cold Season,Drive Through Window,2015-11-01 00:00:00,4818,2015,11,07-Sunday,05-Late Night Snack,33,307.22999999999996,4.157878787878787,9.309999999999999,2.2391225129363748
Cold Season,Drive Through Window,2015-11-02 00:00:00,4818,2015,11,01-Monday,01-Breakfast,86,446.2800000000001,1.6630232558139533,5.189302325581396,3.120402740875403
Cold Season,Drive Through Window,2015-11-02 00:00:00,4818,2015,11,01-Monday,02-Lunch,142,894.8200000000004,2.425704225352113,6.301549295774651,2.5978226157642625
Cold Season,Drive Through Window,2015-11-02 00:00:00,4818,2015,11,01-Monday,03-Snack,55,313.09000000000003,2.3196363636363633,5.6925454545454555,2.45406803574228
Cold Season,Drive Through Window,2015-11-02 00:00:00,4818,2015,11,01-Monday,04-Dinner,70,618.9000000000001,3.067,8.841428571428573,2.882761190553822
Cold Season,Drive Through Window,2015-11-02 00:00:00,4818,2015,11,01-Monday,05-Late Night Snack,31,260.68,2.969677419354838,8.409032258064517,2.831631544644798
